alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,1.0,0.01,0.1,0.001,0.3,812.0,0.8441654357459379
100.0,1.0,0.01,0.1,0.0001,0.3,812.0,0.8423190546528804
100.0,1.0,0.01,0.1,1e-05,0.3,812.0,0.8393648449039882
100.0,1.0,0.01,0.1,1e-06,0.3,812.0,0.8364106351550961
100.0,1.0,0.01,0.01,1.0,0.3,812.0,0.844903988183161
100.0,1.0,0.01,0.01,0.1,0.3,812.0,0.8338257016248154
100.0,1.0,0.01,0.01,0.01,0.3,812.0,0.8401033973412112
100.0,1.0,0.01,0.01,0.001,0.3,812.0,0.8305022156573116
100.0,1.0,0.01,0.01,0.0001,0.3,812.0,0.8552437223042836
100.0,1.0,0.01,0.01,1e-05,0.3,812.0,0.8319793205317577
100.0,1.0,0.01,0.01,1e-06,0.3,812.0,0.8253323485967504
100.0,1.0,0.01,0.001,1.0,0.3,812.0,0.8316100443131462
100.0,1.0,0.01,0.001,0.1,0.3,812.0,0.8330871491875923
100.0,1.0,0.01,0.001,0.01,0.3,812.0,0.8349335302806499
100.0,1.0,0.01,0.001,0.001,0.3,812.0,0.8386262924667651
100.0,1.0,0.01,0.001,0.0001,0.3,812.0,0.8408419497784343
100.0,1.0,0.01,0.001,1e-05,0.3,812.0,0.8485967503692762
100.0,1.0,0.01,0.001,1e-06,0.3,812.0,0.8257016248153619
100.0,1.0,0.01,0.0001,1.0,0.3,812.0,0.837149187592319
100.0,1.0,0.01,0.0001,0.1,0.3,812.0,0.8389955686853766
100.0,1.0,0.01,0.0001,0.01,0.3,812.0,0.8441654357459379
100.0,1.0,0.01,0.0001,0.001,0.3,812.0,0.8393648449039882
100.0,1.0,0.01,0.0001,0.0001,0.3,812.0,0.8312407680945347
100.0,1.0,0.01,0.0001,1e-05,0.3,812.0,0.8360413589364845
100.0,1.0,0.01,0.0001,1e-06,0.3,812.0,0.8530280649926145
100.0,1.0,0.01,1e-05,1.0,0.3,812.0,0.8530280649926145
100.0,1.0,0.01,1e-05,0.1,0.3,812.0,0.8415805022156573
100.0,1.0,0.01,1e-05,0.01,0.3,812.0,0.8430576070901034
100.0,1.0,0.01,1e-05,0.001,0.3,812.0,0.8404726735598228
100.0,1.0,0.01,1e-05,0.0001,0.3,812.0,0.8522895125553914
100.0,1.0,0.01,1e-05,1e-05,0.3,812.0,0.8471196454948301
100.0,1.0,0.01,1e-05,1e-06,0.3,812.0,0.8201624815361891
100.0,1.0,0.01,1e-06,1.0,0.3,812.0,0.845642540620384
100.0,1.0,0.01,1e-06,0.1,0.3,812.0,0.8415805022156573
100.0,1.0,0.01,1e-06,0.01,0.3,812.0,0.8404726735598228
100.0,1.0,0.01,1e-06,0.001,0.3,812.0,0.8419497784342689
100.0,1.0,0.01,1e-06,1e-05,0.3,812.0,0.8353028064992615
100.0,1.0,0.01,1e-06,1e-06,0.3,812.0,0.8460118168389956
100.0,1.0,0.001,0.1,1.0,0.3,812.0,0.8334564254062038
100.0,1.0,0.001,0.1,0.1,0.3,812.0,0.8474889217134417
100.0,1.0,0.001,0.1,0.01,0.3,812.0,0.8408419497784343
100.0,1.0,0.001,0.1,0.001,0.3,812.0,0.8345642540620384
100.0,1.0,0.001,0.1,0.0001,0.3,812.0,0.8378877400295421
100.0,1.0,0.001,0.1,1e-05,0.3,812.0,0.844903988183161
100.0,1.0,0.001,0.1,1e-06,0.3,812.0,0.8316100443131462
100.0,1.0,0.001,0.01,1.0,0.3,812.0,0.8349335302806499
100.0,1.0,0.001,0.01,0.1,0.3,812.0,0.8312407680945347
100.0,1.0,0.001,0.01,0.01,0.3,812.0,0.8312407680945347
100.0,1.0,0.001,0.01,0.001,0.3,812.0,0.8415805022156573
100.0,1.0,0.001,0.01,0.0001,0.3,812.0,0.8478581979320532
100.0,1.0,0.001,0.01,1e-05,0.3,812.0,0.844903988183161
100.0,1.0,0.001,0.01,1e-06,0.3,812.0,0.8471196454948301
100.0,1.0,0.001,0.001,1.0,0.3,812.0,0.8526587887740029
100.0,1.0,0.001,0.001,0.1,0.3,812.0,0.8305022156573116
100.0,1.0,0.001,0.001,0.01,0.3,812.0,0.8319793205317577
100.0,1.0,0.001,0.001,0.001,0.3,812.0,0.8452732644017725
100.0,1.0,0.001,0.001,0.0001,0.3,812.0,0.8297636632200887
100.0,1.0,0.001,0.001,1e-05,0.3,812.0,0.8570901033973413
