alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
100.0,1e-05,1e-05,0.001,0.1,0.05,166.0,0.7030357679591224
100.0,1e-05,1e-05,0.001,1e-06,0.05,166.0,0.7084460474902314
100.0,1e-05,1e-05,0.0001,1.0,0.05,166.0,0.7120529005109708
100.0,1e-05,1e-05,0.0001,0.1,0.05,166.0,0.7018334836188759
100.0,1e-05,1e-05,0.0001,0.01,0.05,166.0,0.7006311992786294
100.0,1e-05,1e-05,0.0001,0.001,0.05,166.0,0.7024346257889991
100.0,1e-05,1e-05,1e-05,1.0,0.05,166.0,0.7159603246167718
100.0,1e-05,1e-05,1e-05,1e-06,0.05,166.0,0.7003306281935677
100.0,1e-05,1e-05,1e-06,1.0,0.05,166.0,0.7090471896603546
100.0,1e-05,1e-06,0.001,1.0,0.05,166.0,0.7057409077246769
100.0,1e-05,1e-06,0.001,0.1,0.05,166.0,0.7180643222122032
100.0,1e-05,1e-06,0.001,0.0001,0.05,166.0,0.7108506161707244
100.0,1e-05,1e-06,0.0001,1.0,0.05,166.0,0.7117523294259093
100.0,1e-05,1e-06,0.0001,0.0001,0.05,166.0,0.700931770363691
100.0,1e-05,1e-06,1e-05,1.0,0.05,166.0,0.7030357679591224
100.0,1e-05,1e-06,1e-05,0.1,0.05,166.0,0.7030357679591224
100.0,1e-05,1e-06,1e-06,1.0,0.05,166.0,0.7075443342350466
100.0,1e-06,1.0,1.0,0.01,0.05,166.0,0.7087466185752931
100.0,1e-06,1.0,1.0,1e-05,0.05,166.0,0.7051397655545536
100.0,1e-06,0.1,1.0,0.0001,0.05,166.0,0.7006311992786294
100.0,1e-06,0.1,1.0,1e-06,0.05,166.0,0.7159603246167718
100.0,1e-06,0.1,0.1,0.1,0.05,166.0,0.7015329125338142
100.0,1e-06,0.1,0.01,1.0,0.05,166.0,0.7045386233844304
100.0,1e-06,0.1,1e-06,0.1,0.05,166.0,0.7105500450856628
100.0,1e-06,0.01,0.1,1.0,0.05,166.0,0.7162608957018335
100.0,1e-06,0.01,0.1,1e-05,0.05,166.0,0.7000300571085062
100.0,1e-06,0.01,0.1,1e-06,0.05,166.0,0.7027351968740607
100.0,1e-06,0.01,0.001,1.0,0.05,166.0,0.7039374812143072
100.0,1e-06,0.01,0.0001,0.1,0.05,166.0,0.7030357679591224
100.0,1e-06,0.001,0.1,1.0,0.05,166.0,0.7003306281935677
100.0,1e-06,0.001,0.01,1.0,0.05,166.0,0.7234746017433122
100.0,1e-06,0.001,0.01,0.1,0.05,166.0,0.7012323414487527
100.0,1e-06,0.001,0.001,1.0,0.05,166.0,0.7243763149984972
100.0,1e-06,0.001,0.0001,1.0,0.05,166.0,0.7093477607454163
100.0,1e-06,0.001,1e-05,0.1,0.05,166.0,0.7105500450856628
100.0,1e-06,0.001,1e-05,0.01,0.05,166.0,0.7147580402765255
100.0,1e-06,0.001,1e-06,1.0,0.05,166.0,0.7096483318304779
100.0,1e-06,0.0001,1.0,1e-06,0.05,166.0,0.7060414788097386
100.0,1e-06,0.0001,0.1,1.0,0.05,166.0,0.7048391944694921
100.0,1e-06,0.0001,0.1,0.1,0.05,166.0,0.7039374812143072
100.0,1e-06,0.0001,0.01,0.1,0.05,166.0,0.7030357679591224
100.0,1e-06,0.0001,0.001,1.0,0.05,166.0,0.713555755936279
100.0,1e-06,0.0001,0.0001,1.0,0.05,166.0,0.7162608957018335
100.0,1e-06,0.0001,1e-06,1.0,0.05,166.0,0.7237751728283739
100.0,1e-06,0.0001,1e-06,0.01,0.05,166.0,0.7090471896603546
100.0,1e-06,1e-05,1.0,0.001,0.05,166.0,0.7003306281935677
100.0,1e-06,1e-05,0.1,1.0,0.05,166.0,0.7099489029155395
100.0,1e-06,1e-05,0.01,1.0,0.05,166.0,0.7162608957018335
100.0,1e-06,1e-05,0.001,1.0,0.05,166.0,0.725278028253682
100.0,1e-06,1e-05,0.001,0.1,0.05,166.0,0.7012323414487527
100.0,1e-06,1e-05,1e-05,1.0,0.05,166.0,0.7126540426810941
100.0,1e-06,1e-05,1e-05,1e-05,0.05,166.0,0.7024346257889991
100.0,1e-06,1e-05,1e-06,1.0,0.05,166.0,0.7084460474902314
100.0,1e-06,1e-05,1e-06,1e-05,0.05,166.0,0.7006311992786294
100.0,1e-06,1e-06,1.0,0.1,0.05,166.0,0.7132551848512173
100.0,1e-06,1e-06,0.1,0.1,0.05,166.0,0.7138563270213405
100.0,1e-06,1e-06,0.01,1.0,0.05,166.0,0.7096483318304779
100.0,1e-06,1e-06,0.01,0.1,0.05,166.0,0.7030357679591224
100.0,1e-06,1e-06,0.01,0.001,0.05,166.0,0.7006311992786294
100.0,1e-06,1e-06,0.001,1.0,0.05,166.0,0.7045386233844304
100.0,1e-06,1e-06,0.0001,1.0,0.05,166.0,0.7030357679591224
100.0,1e-06,1e-06,1e-05,1.0,0.05,166.0,0.7219717463180042
100.0,1e-06,1e-06,1e-06,0.1,0.05,166.0,0.7033363390441839
100.0,1e-06,1e-06,1e-06,0.001,0.05,166.0,0.7021340547039375
10.0,0.01,0.1,0.0001,1e-06,0.05,166.0,0.7021340547039375
10.0,0.01,0.1,1e-06,1e-06,0.05,166.0,0.7012323414487527
10.0,0.01,0.01,0.01,0.01,0.05,166.0,0.7090471896603546
10.0,0.01,0.01,1e-06,0.01,0.05,166.0,0.7120529005109708
10.0,0.01,0.001,0.1,1e-05,0.05,166.0,0.7036369101292456
10.0,0.01,0.001,0.1,1e-06,0.05,166.0,0.7021340547039375
10.0,0.01,0.001,0.001,0.001,0.05,166.0,0.7012323414487527
10.0,0.01,0.001,0.0001,0.01,0.05,166.0,0.7033363390441839
